Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
1897495,1006 Logan Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,4 Bedrooms,1  Bathrooms,$224900,$225300,$1994,11 Days,11 days,DRG,2024-02-06,$189338,3484,3484.8,Square Feet,1917,2339,NULL,2102920000000,27053
2017407,2614 17th Ave S,Minneapolis,55407,MN,FOR_SALE,East Phillips,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$259900,$257700,$1832,11 Days,11 days,Land of Lakes Rlty,2024-02-06,$61000,3484,3484.8,Square Feet,1900,2339,6.58,3502920000000,27053
1728384,3807 Upton Ave N,Minneapolis,55412,MN,FOR_SALE,Victory,SINGLE_FAMILY,1 Bedrooms,1  Bathrooms,$179999,$177600,$1389,19 Days,19 days,"Bridge Realty, LLC",2024-01-29,$80000,5227,5227.2,Square Feet,1922,2339,NULL,502924000000,27053
1760068,3810 York Ave S,Minneapolis,55410,MN,FOR_SALE,Linden Hills,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$1139900,UNKNOWN,UNKNOWN,29 Days,29 days,Century 21 Premier Group,2024-01-19,UNKNOWN,7405,7405.2,Square Feet,1955,2339,6.894,802824000000,27053
1887669,907 Penn Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,MULTI_FAMILY,6 Bedrooms,2  Bathrooms,$319900,$309600,$2995,69 Days,69 days,Coldwell Banker Realty,2023-12-10,$47500,5662,5662.8,Square Feet,1907,2339,6.58,2002920000000,27053
1773937,3122 Irving Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$169000,$162300,$2303,158 Days,158 days,Home-Mart Realty,2023-09-12,$140000,5227,5227.2,Square Feet,1923,2339,NULL,902924000000,27053
2000900,2217 Penn Ave S,Minneapolis,55405,MN,FOR_SALE,Kenwood,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$1195000,$1130400,$6151,164 Days,164 days,Lakes Sotheby's International Realty,2023-09-06,$868675,6534,6534,Square Feet,1923,2339,6.894,3302920000000,27053
1774933,3022 Humboldt Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$154900,$152200,$1599,38 Days,38 days,REMAX Professionals,2024-01-10,$19000,5662,5662.8,Square Feet,1916,2339,NULL,902924000000,27053
1720955,3637 Lyndale Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$239900,$236800,$2666,35 Days,35 days,REMAX Advantage Plus,2024-01-13,$128000,4791,4791.6,Square Feet,1996,2339,NULL,402924000000,27053
1951080,1408 Douglas Ave #1,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,MULTI_FAMILY,2 Bedrooms,1  Bathrooms,$499900,UNKNOWN,UNKNOWN,22 Days,22 days,"Edina Realty, Inc.",2024-01-26,$420000,6969,6969.6,Square Feet,1925,2339,6.58,2802920000000,27053
2017557,2630 14th Ave S,Minneapolis,55407,MN,FOR_SALE,Midtown Phillips,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$269900,$264500,$2350,35 Days,35 days,REMAX Advantage Plus,2024-01-13,$102000,3920,3920.4,Square Feet,1900,2339,6.58,3502920000000,27053
1849971,2025 Penn Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$154900,$148200,$1949,38 Days,38 days,eXp Realty,2024-01-10,$30000,5227,5227.2,Square Feet,1926,2339,NULL,1702920000000,27053
1991805,2728 Dean Pkwy,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,5 Bedrooms,8  Bathrooms,$2375000,$2212000,$12485,110 Days,110 days,Coldwell Banker Realty,2023-10-30,$620000,19602,0.45,Acres,1926,2339,6.894,3202920000000,27053
1762044,3447 Thomas Ave N,Minneapolis,55412,MN,FOR_SALE,Cleveland,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$250000,$247300,$1814,23 Days,23 days,Keller Williams Integrity Realty,2024-01-25,$255000,4791,4791.6,Square Feet,1962,2339,NULL,802924000000,27053
1784315,3232 2nd St N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$179900,$179200,$1649,10 Days,10 days,Tangletown Realty,2024-02-07,$40000,2178,2178,Square Feet,1900,2339,NULL,1002920000000,27053
